fecha,hora,ubicacion,flujo_vehicular
2025-01-01,5,general canas,1723
2025-01-01,6,san pedro,1568
2025-01-01,8,alajuela centro,1033
2025-01-01,9,circunvalacion,418
2025-01-01,19,zapote,874
2025-01-01,20,circunvalacion,1877
2025-01-02,3,alajuela centro,1547
2025-01-02,6,circunvalacion,691
2025-01-02,7,general canas,444
2025-01-02,9,general canas,1101
2025-01-02,16,zapote,1777
2025-01-03,3,zapote,915
2025-01-03,10,alajuela centro,283
2025-01-03,23,zapote,479
2025-01-04,6,san pedro,1400
2025-01-04,11,general canas,1530
2025-01-04,15,zapote,1953
2025-01-04,18,ruta 27,674
2025-01-04,19,ruta 27,1893
2025-01-05,2,ruta 27,1286
2025-01-05,4,alajuela centro,1009
2025-01-05,8,alajuela centro,1113
2025-01-05,12,general canas,307
2025-01-05,13,ruta 27,282
2025-01-06,3,ruta 27,1545
2025-01-06,13,alajuela centro,1781
2025-01-06,16,ruta 27,1892
2025-01-07,1,zapote,1141
2025-01-07,12,general canas,739
2025-01-07,16,general canas,576
2025-01-08,4,ruta 27,886
2025-01-08,5,zapote,331
2025-01-08,6,circunvalacion,1403
2025-01-08,9,ruta 27,609
2025-01-08,14,general canas,1607
2025-01-08,18,zapote,1082
2025-01-09,1,zapote,1032
2025-01-09,3,san pedro,858
2025-01-09,7,ruta 32,886
2025-01-09,9,ruta 32,1716
2025-01-09,11,alajuela centro,1007
2025-01-09,12,alajuela centro,1170
2025-01-09,13,alajuela centro,514
2025-01-09,15,ruta 32,843
2025-01-10,5,alajuela centro,1562
2025-01-10,7,circunvalacion,220
2025-01-10,13,alajuela centro,270
2025-01-10,16,general canas,305
2025-01-10,18,circunvalacion,1397
2025-01-10,19,circunvalacion,1801
2025-01-11,3,alajuela centro,1743
2025-01-11,17,ruta 32,1979
2025-01-11,22,circunvalacion,909
2025-01-11,23,general canas,846
2025-01-12,11,san pedro,1139
2025-01-12,20,alajuela centro,1838
2025-01-13,3,san pedro,1593
2025-01-13,7,san pedro,1976
2025-01-13,12,alajuela centro,1197
2025-01-13,15,ruta 32,1138
2025-01-13,19,alajuela centro,658
2025-01-13,21,circunvalacion,1979
2025-01-14,8,san pedro,575
2025-01-14,14,san pedro,1239
2025-01-14,18,zapote,1114
2025-01-14,20,san pedro,296
2025-01-14,23,general canas,258
2025-01-15,2,zapote,1182
2025-01-15,17,san pedro,1002
2025-01-15,22,san pedro,1708
2025-01-16,4,ruta 32,1110
2025-01-16,9,ruta 27,1784
2025-01-16,17,san pedro,1509
2025-01-16,18,zapote,1770
2025-01-16,19,general canas,684
2025-01-17,13,ruta 32,933
2025-01-17,15,zapote,1712
2025-01-18,10,general canas,943
2025-01-18,11,san pedro,1002
